symbol,total_pairs,min_horizon_sessions,max_horizon_sessions,distinct_ref_dates,distinct_tgt_dates
GUJENERGY,21,1,7,6,6
SRF,21,1,7,6,6
SPARC,21,1,7,6,6
SPANDANA,21,1,7,6,6
SPAL,21,1,7,6,6
AJMERA,21,1,8,6,6
AJAXENGG,21,1,8,6,6
SUNPHARMA,21,1,7,6,6
JKPAPER,21,1,7,6,6
JKLAKSHMI,21,1,7,6,6
JIOFIN,21,1,7,6,6
JINDWORLD,21,1,7,6,6
JINDRILL,21,1,7,6,6
HONASA,21,1,7,6,6
HMAAGRO,21,1,7,6,6
HLVLTD,21,1,7,6,6
HINDZINC,21,1,7,6,6
HINDUNILVR,21,1,7,6,6
HDFCAMC,21,1,7,6,6
HDBFS,21,1,7,6,6
HCLTECH,21,1,7,6,6
JAYNECOIND,21,1,7,6,6
JAMNAAUTO,21,1,7,6,6
JAGSNPHARM,21,1,7,6,6
JAGRAN,21,1,7,6,6
J&KBANK,21,1,7,6,6
IZMO,21,1,7,6,6
IXIGO,21,1,7,6,6
HINDCOPPER,21,1,7,6,6
IDEA,21,1,7,6,6
IDBI,21,1,7,6,6
ICRA,21,1,7,6,6
ICICIPRULI,21,1,7,6,6
ICICIGI,21,1,7,6,6
HGINFRA,21,1,7,6,6
HEXT,21,1,7,6,6
HEROMOTOCO,21,1,7,6,6
ITCHOTELS,21,1,7,6,6
ITC,21,1,7,6,6
IRMENERGY,21,1,7,6,6
IRFC,21,1,7,6,6
IREDA,21,1,7,6,6
IRCTC,21,1,7,6,6
IRCON,21,1,7,6,6
IRB,21,1,7,6,6
IEX,21,1,7,6,6
TECHNOE,21,1,7,6,6
TECHNOCRAF,21,1,7,6,6
TECHM,21,1,7,6,6
TDPOWERSYS,21,1,7,6,6
INDIANB,21,1,7,6,6
INDIAMART,21,1,7,6,6
INDHOTEL,21,1,7,6,6
IMFA,21,1,7,6,6
AASTHA,21,1,7,6,6
AADHARHFC,21,1,8,6,6
63MOONS,21,1,8,6,6
ABDL,21,1,8,6,6
HINDPETRO,21,1,7,6,6
IPCALAB,21,1,7,6,6
IONEXCHANG,21,1,7,6,6
SARDAEN,21,1,7,6,6
SAPPHIRE,21,1,7,6,6
SANSERA,21,1,7,6,6
SANGHVIMOV,21,1,7,6,6
SANDUMA,21,1,7,6,6
SANDHAR,21,1,7,6,6
SAMMAANCAP,21,1,7,6,6
ACI,21,1,8,6,6
SWANCORP,21,1,7,6,6
SUZLON,21,1,7,6,6
SUVEN,21,1,7,6,6
SUPRIYA,21,1,7,6,6
SUPREMEIND,21,1,7,6,6
SUNTV,21,1,7,6,6
ADOR,21,1,8,6,6
IFCI,21,1,7,6,6
ZYDUSLIFE,15,1,7,5,5
XTRANET,15,1,7,5,5
YESBANK,15,1,7,5,5
YATHARTH,15,1,7,5,5
YASHO,15,1,7,5,5
PGIL,15,1,7,5,5
PGHL,15,1,7,5,5
STARHEALTH,15,1,7,5,5
STARCEMENT,15,1,6,5,5
SPCENET,15,1,5,5,5
SOUTHWEST,15,1,7,5,5
BMWVENTLTD,15,1,7,5,5
PFIZER,15,1,7,5,5
INGERRAND,15,1,7,5,5
INFOBEAN,15,1,5,5,5
INDOTECH,15,1,7,5,5
IMAGICAA,15,1,5,5,5
HLEGLAS,15,1,7,5,5
HITECH,15,1,7,5,5
HIRECT,15,1,7,5,5
WABAG,15,1,7,5,5
WAAREERTL,15,1,7,5,5
WAAREEENER,15,1,7,5,5
VTL,15,1,7,5,5
IIFLCAPS,15,1,7,5,5
IFBIND,15,1,7,5,5
SATIN,15,1,7,5,5
ARTEMISMED,15,1,7,5,5
ARMANFIN,15,1,8,5,5
ARIS,15,1,7,5,5
ICIL,15,1,7,5,5
VSTIND,15,1,7,5,5
VOLTAS,15,1,7,5,5
VOGL,15,1,7,5,5
VMM,15,1,7,5,5
VIYASH,15,1,7,5,5
INA,15,1,7,5,5
HUBTOWN,15,1,6,5,5
HPL,15,1,6,5,5
HERITGFOOD,15,1,7,5,5
IVC,15,1,7,5,5
JAYKAY,15,1,5,5,5
JAYBARMARU,15,1,7,5,5
SAHYADRI,15,1,7,5,5
SAGCEM,15,1,7,5,5
SAFARI,15,1,6,5,5
AWFIS,15,1,7,5,5
AVTNPL,15,1,7,5,5
ANUP,15,1,7,5,5
ANUHPHR,15,1,7,5,5
SCILAL,15,1,7,5,5
JARO,15,1,7,5,5
JAINREC,15,1,7,5,5
HINDOILEXP,15,1,7,5,5
HIMATSEIDE,15,1,7,5,5
VIPIND,15,1,7,5,5
VIMTALABS,15,1,7,5,5
VIKRAN,15,1,7,5,5
VIKRAMSOLR,15,1,7,5,5
VISL,15,1,7,5,5
PENIND,15,1,7,5,5
PDMJEPAPER,15,1,7,5,5
PCBL,15,1,7,5,5
